Ref,Val,Package,PosX,PosY,Rot,Side
"R24","100","R_0603_1608Metric",140.093200,-134.747000,180.000000,top
"R25","100","R_0603_1608Metric",144.766800,-134.518400,180.000000,top
"R26","10.0K","R_0603_1608Metric",88.900000,-142.748000,0.000000,top
"R27","10.0K","R_0603_1608Metric",99.822000,-146.812000,180.000000,top
"R28","10.0K","R_0603_1608Metric",49.530000,-148.971000,90.000000,top
"R29","7.5K 0.1%","R_0603_1608Metric",111.379000,-150.495000,0.000000,top
"R30","10.0K","R_0603_1608Metric",99.822000,-150.495000,180.000000,top
"R31","1k","R_0603_1608Metric",79.705200,-96.393000,180.000000,top
"U1","INA236AIDDFR","SOT23-8_DDF_TEX",40.513000,-88.392000,90.000000,top
"U2","TPS55289RYQR","RYQ0021A-MFG",51.054000,-98.916000,0.000000,top
"U3","LTC3130IUDC-1-TRPBF","UDC_20_ADI",115.045500,-121.686500,0.000000,top
"U4","INA236AIDDFR","SOT23-8_DDF_TEX",76.310500,-125.941500,-90.000000,top
"U5","LTC3130IUDC-1-TRPBF","UDC_20_ADI",115.071500,-136.428500,0.000000,top
"U6","LT1158CSW-PBF","SO-16_SW_LIT",88.738501,-132.016500,90.000000,top
"U7","SN74LVC1G08","SOT-23-5",89.246501,-140.228500,180.000000,top
"U8","MAX6018AEUR16+T","21-0051H_MXM",107.315000,-149.479000,0.000000,top
"U9","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",82.296000,-152.781000,0.000000,top
"U10","ADS1110","SOT-23-6",111.379000,-153.797000,-90.000000,top
"U11","ESDS304DBVR","SOT95P280X145-5N",101.543900,-76.135000,0.000000,top
"U12","ESDS304DBVR","SOT95P280X145-5N",90.540600,-83.276400,0.000000,top
"U13","ESDS304DBVR","SOT95P280X145-5N",129.347200,-82.931000,180.000000,top
"U14","ESDS304DBVR","SOT95P280X145-5N",153.761200,-95.468400,180.000000,top
"U15","ESDS304DBVR","SOT95P280X145-5N",135.607800,-138.693100,180.000000,top
